단어,품사,빈도수,해시태그,개수
공원,Noun,707,#삼락생태공원,1857
생태,Noun,499,#부산,664
부산,Noun,406,#삼락공원,350
그램,Noun,294,#일상,243
가을,Noun,257,#사상,239
벚꽃,Noun,251,#코스모스,173
스타,Noun,239,#벚꽃,162
사진,Noun,213,#대저생태공원,140
오늘,Noun,158,#부산락페스티벌,123
코스모스,Noun,149,#가을,121
날씨,Noun,130,#daily,118
피크닉,Noun,120,#busan,104
우리,Noun,113,#럽스타그램,95
사람,Noun,111,#산책,93
나들이,Noun,101,#신호동,88
주말,Noun,101,#사진,86
바람,Noun,101,#데이트,77
시간,Noun,99,#부산여행,76
고객,Noun,94,#데일리,72
자전거,Noun,94,#맞팔,72
일상,Noun,92,#풍경,63
산책,Noun,87,#갈대,62
엄마,Noun,83,#삼락,62
구경,Noun,81,#피크닉뮤즈,62
아들,Noun,81,#봄,62
좋은,Adjective,80,#소통,61
네일,Noun,76,#일상스타그램,60
예약,Noun,75,#서면,60
이용,Noun,69,#여행,58
입니다,Adjective,69,#부락,58
사상,Noun,69,#주말,57
갈대,Noun,67,#허브랑야생화,55
다음,Noun,66,#나들이,55
하늘,Noun,66,#국립부산과학관,54
축제,Noun,65,#부산박물관,54
여행,Noun,60,#비프광장,54
아빠,Noun,60,#더베이101요트클럽,54
뮤즈,Noun,59,#황령산봉수대,54
데이트,Noun,59,#힐스파,54
진짜,Noun,57,#보수동책방골목,54
사랑,Noun,57,#오랑대공원,54
테마,Noun,56,#대변항,54
캔들,Noun,56,#을숙도,54
본점,Noun,55,#감성사진,54
가맹,Noun,54,#자전거,54
체인점,Noun,54,#부산데이트,54
점주,Noun,54,#로맨틱펀치,53
모집,Noun,54,#벚꽃축제,53
촬영,Noun,54,#피크닉,52
가족,Noun,52,#김해,51
여름,Noun,50,#다대포,51
운동,Noun,49,#육아스타그램,50
친구,Noun,48,#명지,50
육아,Noun,48,#꽃놀이,50
서면,Noun,47,#꽃스타그램,50
꽃놀이,Noun,47,#부산국제락페스티벌,50
락페스티벌,Noun,46,#사상구,48
기분,Noun,45,#강아지,48
타고,Noun,45,#부산락페,48
삼락,Noun,45,#반려견,47
하루,Noun,45,#남포동,47
어제,Noun,43,#photography,46
역시,Noun,42,#연꽃,46
보고,Noun,41,#락페스티벌,46
소통,Noun,39,#스냅사진,43
일요일,Noun,38,#selfie,43
좋다,Adjective,37,#을숙도생태공원,43
힐링,Noun,37,#락페,43
강아지,Noun,37,#좋아요,42
마지막,Noun,37,#명지국제신도시,42
풍경,Noun,37,#부산카페,41
마을,Noun,37,#photo,41
현금,Noun,37,#셀스타그램,41
문의,Noun,36,#팔로우,41
노을,Noun,36,#부산피크닉,41
있는,Adjective,36,#flowers,41
내일,Noun,36,#힐링,40
예쁜,Adjective,36,#부산민주공원,40
스냅,Noun,35,#부산대,40
아이,Noun,35,#부산와인,40
이번,Noun,34,#멍스타그램,39
이제,Noun,34,#상남동,39
연꽃,Noun,34,#landscape,38
아침,Noun,33,#셀카,37
셀카,Noun,33,#오션시티,37
일리,Noun,33,#첫줄,36
공연,Noun,33,#노을,36
좋고,Adjective,31,#아들맘,36
처음,Noun,31,#여름,36
오빠,Noun,31,#갈대밭,35
최고,Noun,31,#삼락공원벚꽃축제,35
생각,Noun,31,#인물사진,34
국제,Noun,31,#스냅,34
락페,Noun,31,#일몰,34
올해,Noun,30,#공원,34
저녁,Noun,30,#셀피,34
같은,Adjective,30,#f4f,33
오후,Noun,30,#펫스타그램,32
감성,Noun,30,#해운대,32
문화,Noun,30,#출사,32
