단어,품사,빈도수,해시태그,개수
공원,Noun,2125,#대저생태공원,6201
유채꽃,Noun,2062,#부산,1796
생태,Noun,1998,#유채꽃,1795
핑크,Noun,1223,#핑크뮬리,1174
부산,Noun,1221,#일상,790
벚꽃,Noun,1199,#벚꽃,720
그램,Noun,1160,#꽃놀이,460
사진,Noun,1068,#럽스타그램,452
뮬리,Noun,911,#유채꽃축제,436
스타,Noun,882,#유채꽃밭,404
오늘,Noun,785,#봄,387
축제,Noun,759,#부산여행,342
카페,Noun,659,#대저,312
구경,Noun,564,#daily,311
나들이,Noun,489,#대저유채꽃축제,308
우리,Noun,478,#주말,289
주말,Noun,476,#소통,282
일상,Noun,472,#데이트,265
바람,Noun,470,#좋아요,265
사람,Noun,463,#데일리,245
날씨,Noun,444,#벚꽃축제,221
엄마,Noun,406,#여행,219
꽃놀이,Noun,396,#삼락생태공원,200
휴무,Noun,372,#busan,196
가을,Noun,359,#맞팔,193
데이트,Noun,335,#나들이,186
시간,Noun,332,#셀카,176
대저,Noun,312,#꽃구경,173
아들,Noun,309,#셀스타그램,172
노랑,Noun,299,#사진,168
산책,Noun,297,#selfie,167
육아,Noun,286,#대저생태공원핑크뮬리,166
아빠,Noun,278,#일상스타그램,165
좋은,Adjective,275,#여행스타그램,158
수익,Noun,275,#벚꽃놀이,153
부업,Noun,267,#산책,147
시작,Noun,263,#김해,139
사랑,Noun,256,#힐링,132
아기,Noun,244,#부산카페,131
여행,Noun,238,#꽃,130
보고,Noun,226,#멍스타그램,129
하루,Noun,225,#셀피,129
있는,Adjective,224,#대저생태공원유채꽃,129
문의,Noun,222,#봄나들이,127
오픈,Noun,222,#강서구,126
입니다,Adjective,219,#ootd,126
소통,Noun,218,#육아스타그램,126
가족,Noun,214,#삼락공원,123
관리,Noun,208,#주말나들이,123
맛집,Noun,206,#가을,118
왁싱,Noun,206,#instagood,117
친구,Noun,205,#꽃스타그램,117
고객,Noun,202,#딸스타그램,116
이제,Noun,196,#선팔,115
이용,Noun,192,#강아지,115
일리,Noun,187,#보수동책방골목,114
예약,Noun,184,#감성사진,113
생각,Noun,183,#반려견,113
영업,Noun,179,#오랑대공원,113
후배,Noun,178,#허브랑야생화,113
올해,Noun,176,#힐스파,112
진짜,Noun,174,#대변항,112
제이,Noun,173,#사랑해,110
낙동강,Noun,171,#풍경,108
하늘,Noun,169,#photography,107
다음,Noun,166,#육아,105
개월,Noun,166,#부산맘,103
일기,Noun,166,#팔로우,101
가능,Noun,165,#photo,98
인스타,Noun,165,#스냅사진,97
기분,Noun,163,#육아소통,97
개별,Noun,161,#낙동강유채꽃축제,96
모집,Noun,156,#korea,95
좋아요,Adjective,153,#첫줄,94
마지막,Noun,151,#사진스타그램,92
이번,Noun,146,#국립부산과학관,90
일요일,Noun,139,#부산박물관,90
인생,Noun,138,#비프광장,90
카카오,Noun,138,#더베이101요트클럽,90
이쁜,Adjective,137,#황령산봉수대,90
자전거,Noun,136,#좋아요반사,88
본점,Noun,136,#여행에미치다,87
오빠,Noun,135,#댕댕이,87
힐링,Noun,132,#드라이브,85
처음,Noun,132,#인물사진,84
유채,Noun,132,#instadaily,84
맞팔,Noun,131,#아들스타그램,83
예쁜,Adjective,130,#인스타그램,82
탈출,Noun,127,#노랑노랑,82
정기,Noun,127,#부산벚꽃,82
준비,Noun,125,#portrait,81
김해,Noun,124,#f4f,81
같은,Adjective,122,#travel,80
지금,Noun,121,#인친,79
테마,Noun,121,#아들맘,78
시트,Noun,120,#맥도생태공원,77
베드,Noun,120,#부산가볼만한곳,77
다시,Noun,119,#도치맘,77
정말,Noun,117,#부산낙동강유채꽃축제,77
방법,Noun,115,#개스타그램,76
