,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1일,5.5,5.5,16.1,14.1,20.8,24.8,27.8,31.3,27.7,23.3,24.0,12.1
2일,6.4,8.3,15.5,15.0,21.7,24.6,26.4,33.0,22.9,23.8,22.6,10.5
3일,8.4,14.9,15.4,13.9,23.1,25.6,24.1,32.7,25.8,28.8,22.3,9.2
4일,8.2,10.5,16.9,17.4,23.6,26.5,28.3,32.2,26.8,25.8,19.7,11.3
5일,10.7,13.0,16.0,18.0,23.9,29.7,26.9,32.8,29.3,26.4,20.7,9.6
6일,10.7,15.5,13.8,18.4,21.3,27.0,28.9,29.8,28.8,22.8,21.3,4.7
7일,9.5,13.4,14.0,15.9,20.0,20.0,26.5,30.9,27.3,21.2,19.2,9.7
8일,8.2,9.0,14.5,18.3,21.6,22.2,26.9,32.5,29.1,24.0,19.0,12.0
9일,7.6,5.6,15.4,15.8,22.9,22.1,26.1,32.5,30.5,23.2,20.2,13.4
10일,9.0,9.7,12.2,12.9,23.8,22.7,22.7,32.3,29.2,24.5,18.3,16.3
11일,12.2,6.8,14.5,14.2,24.4,22.1,27.2,30.6,29.2,27.0,19.7,16.6
12일,8.3,9.4,14.8,16.4,25.8,22.3,28.9,31.9,23.6,24.5,19.1,9.3
13일,12.5,9.0,11.4,17.2,20.7,23.0,23.5,35.0,27.4,23.0,16.3,10.5
14일,13.5,11.3,12.1,15.6,24.7,23.7,26.8,33.3,27.7,23.0,14.4,12.7
15일,10.4,8.8,13.3,17.9,25.7,25.3,26.6,28.5,29.3,18.9,16.4,14.5
16일,5.6,7.5,12.6,21.2,26.7,23.4,27.1,31.6,28.0,21.4,19.8,16.4
17일,7.6,9.5,15.4,23.4,23.7,24.6,27.8,29.9,28.1,21.2,19.1,16.6
18일,10.8,10.5,14.4,20.0,20.4,24.8,23.0,29.8,28.2,17.7,19.5,15.7
19일,12.2,10.4,19.3,16.8,21.9,27.3,23.7,30.2,25.6,24.0,10.8,12.2
20일,10.6,10.3,17.2,18.2,23.3,27.5,23.9,30.3,26.5,23.6,12.4,9.4
21일,7.9,12.7,21.0,22.0,22.3,26.8,26.0,29.4,20.6,23.7,16.3,6.3
22일,10.6,14.1,14.4,22.2,24.6,25.0,29.1,27.3,19.1,23.8,20.3,10.0
23일,10.7,15.2,13.5,19.5,26.1,24.8,29.9,28.2,20.7,20.8,20.5,12.9
24일,11.6,13.8,11.1,20.5,25.4,24.5,29.3,28.3,24.2,21.2,18.9,14.3
25일,7.9,16.2,11.8,16.3,30.1,26.8,27.7,27.6,25.4,24.9,16.6,16.3
26일,6.3,16.0,20.7,13.1,25.7,21.8,26.8,28.8,27.8,21.4,16.7,12.2
27일,9.0,13.0,18.7,16.3,20.9,24.4,26.9,25.1,26.1,18.7,11.7,9.0
28일,10.9,16.5,16.1,16.9,22.5,25.5,29.1,26.3,26.1,19.9,12.9,9.4
29일,11.4, ,17.1,13.8,25.4,23.7,30.3,24.3,28.8,21.2,14.0,9.5
30일,13.7, ,16.1,18.9,26.9,28.1,30.5,28.9,27.7,20.4,15.7,14.0
31일,8.9, ,13.5, ,22.9, ,30.9,28.3, ,22.4, ,7.1
평균,9.6,11.3,15.1,17.3,23.6,24.7,27.1,30.1,26.6,22.8,17.9,11.7
