,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1일,-1.9,-4.2,7.0,2.1,14.3,16.2,21.3,25.6,21.4,21.6,13.4,6.5
2일,-2.5,-1.3,7.1,4.5,14.8,17.4,20.9,26.7,20.2,21.6,14.4,2.6
3일,-1.7,7.4,9.5,5.7,15.3,17.4,20.4,26.3,21.9,22.3,14.0,0.3
4일,1.4,3.4,8.8,6.0,15.1,19.2,19.8,26.4,22.0,20.2,12.3,4.6
5일,2.2,2.5,7.9,10.1,15.4,20.4,20.6,26.1,24.0,18.5,10.8,0.0
6일,1.3,6.6,8.8,10.4,12.8,17.8,20.7,23.2,25.6,16.4,11.7,-2.8
7일,0.7,1.5,7.3,9.9,11.0,16.8,20.8,23.4,24.1,16.4,11.7,-2.2
8일,-0.7,-1.4,5.6,9.5,12.9,17.0,20.5,25.9,23.5,16.0,10.7,2.4
9일,-2.6,0.2,7.4,8.4,16.0,16.4,20.2,26.6,23.9,12.6,9.0,3.7
10일,2.5,-1.3,6.7,7.9,16.0,15.8,20.7,26.0,25.2,14.1,10.0,6.8
11일,0.4,0.0,5.8,6.8,14.3,16.1,21.6,26.3,23.3,16.7,11.8,5.8
12일,4.7,-0.5,4.5,7.4,15.9,16.9,21.5,27.0,19.9,16.5,10.9,2.2
13일,3.2,1.2,0.5,9.2,14.8,15.5,21.0,27.1,20.5,15.1,9.9,2.3
14일,2.4,2.0,2.7,10.6,17.2,17.2,20.6,26.5,20.1,14.3,4.8,6.2
15일,1.4,4.0,3.6,7.9,18.7,17.2,21.8,26.7,21.5,13.4,5.6,6.8
16일,-4.4,0.4,2.5,10.3,18.0,17.7,21.0,26.3,20.2,12.5,11.1,6.3
17일,-2.0,-1.7,5.4,14.3,17.8,17.6,21.2,24.5,19.6,14.1,12.3,9.1
18일,1.1,2.2,8.1,14.2,16.5,19.5,21.2,25.2,19.6,15.5,6.7,8.0
19일,4.2,5.4,9.2,10.1,18.0,19.3,22.7,25.2,18.7,15.8,3.8,3.6
20일,0.5,2.0,11.2,9.7,14.1,21.6,23.0,25.1,18.0,14.9,2.0,1.2
21일,-2.3,1.5,10.6,13.4,12.2,21.0,22.2,25.0,17.2,15.2,4.0,1.7
22일,0.9,5.3,5.4,14.1,15.8,19.1,22.9,25.0,17.1,16.1,10.1,4.2
23일,2.1,6.5,3.7,14.5,16.2,18.4,24.9,23.5,16.7,16.3,12.2,5.0
24일,1.5,4.6,2.0,15.1,16.2,18.0,24.6,21.6,15.8,16.4,13.4,3.0
25일,-0.1,6.4,4.5,13.0,19.2,18.5,24.9,22.7,15.8,16.8,9.5,5.4
26일,-2.6,6.5,7.2,8.5,18.5,19.6,24.7,21.8,19.1,13.9,8.8,4.0
27일,-0.7,8.8,12.3,8.1,18.4,20.7,24.7,22.2,20.6,10.4,8.8,0.4
28일,2.0,7.5,10.7,10.7,15.1,20.8,25.7,22.7,21.3,10.7,6.3,-0.3
29일,-0.6, ,10.5,12.1,14.0,20.0,25.2,22.1,21.3,13.3,5.0,2.6
30일,5.4, ,5.6,13.1,17.8,21.3,25.5,20.3,22.5,10.6,6.5,7.1
31일,-1.5, ,4.4, ,14.9, ,26.2,21.0, ,11.0, ,-2.5
평균,0.5,2.7,6.7,9.9,15.7,18.3,22.4,24.6,20.7,15.5,9.4,3.4
