,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1일, , , , ,0.0, ,13.9, ,82.8, , , 
2일, , , , ,17.0, ,2.7, ,3.3, , ,0.0
3일, , , , ,0.0, ,90.9, ,57.2, , ,17.2
4일, , ,39.1,5.9, , ,1.3, ,0.0,1.1, ,27.9
5일,0.8, ,7.7,0.0, ,5.7,5.3, , ,51.3, , 
6일, , , ,21.0,42.0, ,2.9,0.0,0.0,67.4, ,3.1
7일,0.1, ,3.8, ,30.7, , ,0.0,15.6, , , 
8일,6.4, ,23.5, , , ,0.0, ,0.0, ,101.2, 
9일, ,0.2, , , , ,4.0,14.3, ,0.0, , 
10일,0.2, , , , ,5.2, ,0.0, ,0.0, , 
11일, , , ,0.2, ,32.9, ,0.7, , ,1.0,2.8
12일, , , , ,2.6, , ,0.0, , ,2.8, 
13일, , , , ,18.4, , , ,8.6, ,0.0, 
14일, , , ,34.1, , , , ,47.7, , , 
15일,0.1, ,62.0, , , , ,23.8,1.4, , , 
16일,27.6, ,2.5, ,3.8, , ,1.7, , ,0.0,4.4
17일,5.4, , , ,6.6, , , , , , , 
18일, , ,5.0, ,1.9,0.0, , , , , , 
19일, , ,37.1, , ,6.8, , ,0.0, , , 
20일, , ,3.4, , ,0.5, , ,11.4, , , 
21일, , ,22.0, , , , , ,27.2, , , 
22일,0.3, , ,0.0,4.1, , , , , , ,0.0
23일, , , ,34.8,27.6,0.9, ,2.7, ,0.0, ,3.6
24일, , , ,60.4, , , ,3.1, , ,2.3, 
25일, ,0.0, , , , , ,2.4, , , , 
26일, , , , , ,1.5, ,24.5,2.4,3.9, ,0.0
27일, , , , , ,6.7, ,58.1, , , , 
28일, ,52.3, , ,0.6,131.1, , ,0.0, , , 
29일, , , , , ,11.0,1.0, ,37.1,0.0, , 
30일, , , , ,0.5,74.4,0.1,0.7,13.7, , , 
31일, , , , , , , ,37.7, , , ,0.0
합계,40.9,52.5,206.1,156.4,155.8,276.7,122.1,169.7,308.4,123.7,107.3,59.0
