,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1일,0.0,0.1,4.4,5.5,8.8,0.1,9.4,0.1,8.9,3.0,0.1,7.6
2일,1.9,6.5,2.4,0.6,8.6,1.5,9.5,0.4,9.1,1.4,0.0,5.0
3일,3.6,0.0,3.6,2.8,1.1,3.5,10.0,0.3,9.3,2.5,2.3,8.4
4일,7.4,0.0,8.3,10.0,0.3,6.9,7.3,0.9,5.5,7.4,1.1,9.3
5일,3.8,0.0,8.9,10.0,5.6,9.1,10.0,0.9,3.3,10.0,0.8,5.1
6일,0.4,0.0,5.1,7.3,10.0,3.6,9.8,7.5,8.6,7.1,2.6,9.6
7일,7.8,0.0,9.8,4.5,9.5,0.3,8.8,4.1,9.9,1.9,9.3,9.0
8일,9.4,1.5,9.0,1.9,9.3,4.1,9.4,2.6,9.6,2.1,9.6,2.5
9일,3.4,7.6,7.0,4.0,6.9,5.1,8.8,5.5,8.6,9.1,3.0,5.1
10일,2.1,7.5,4.1,6.4,1.6,9.8,7.8,9.3,4.1,9.1,0.0,0.9
11일,0.0,2.4,0.0,6.1,4.5,9.6,5.4,6.8,6.9,4.6,5.9,9.1
12일,0.0,1.3,0.0,6.5,9.9,9.6,4.9,7.8,7.0,0.5,8.9,0.0
13일,0.6,0.0,0.1,8.0,5.3,7.1,2.4,3.9,9.9,4.0,3.8,1.0
14일,3.6,4.5,2.8,9.9,0.0,5.5,0.0,5.3,9.6,4.1,1.1,0.0
15일,2.1,7.0,9.9,3.8,5.5,6.1,0.0,7.4,9.5,5.4,2.3,1.9
16일,9.5,6.1,6.4,5.0,10.0,5.6,0.0,9.5,5.5,8.9,8.0,7.0
17일,6.3,2.6,3.8,4.6,10.0,6.5,0.0,4.0,6.9,1.9,1.6,1.0
18일,3.1,7.1,7.8,0.0,10.0,7.6,0.0,3.9,4.3,1.3,8.0,0.6
19일,0.9,7.5,10.0,0.0,6.5,9.6,0.0,2.9,8.1,1.3,3.0,3.8
20일,0.6,4.1,9.9,0.0,6.3,6.0,0.0,1.3,9.5,0.5,0.3,6.9
21일,5.8,5.5,10.0,2.9,6.1,4.5,1.3,3.4,9.5,0.0,9.1,1.8
22일,6.9,2.5,3.5,9.1,5.5,8.3,5.5,8.8,4.9,7.0,1.3,3.8
23일,1.3,0.0,0.0,10.0,4.8,5.6,4.1,9.6,7.0,5.0,0.6,4.5
24일,1.3,5.3,1.5,9.8,3.0,0.3,0.9,5.8,8.1,0.0,4.0,1.6
25일,5.5,7.4,0.0,0.4,6.5,5.3,0.5,8.1,2.0,0.6,3.8,6.3
26일,1.5,0.0,1.0,5.6,1.1,9.9,1.3,9.5,6.4,6.8,2.6,8.5
27일,2.5,4.5,0.0,2.9,6.9,9.6,5.6,9.0,1.4,1.9,0.5,2.8
28일,5.8,9.8,0.3,0.0,8.3,10.0,2.1,5.6,6.8,2.0,1.1,0.0
29일,1.0, ,1.4,2.8,7.6,9.8,7.4,4.5,9.9,2.4,2.8,0.0
30일,4.1, ,0.0,3.8,7.1,9.5,3.9,6.8,5.8,0.0,1.0,2.6
31일,7.1, ,0.0, ,6.0, ,1.1,8.5, ,2.1, ,6.1
평균,3.5,3.6,4.2,4.8,6.2,6.3,4.4,5.3,7.2,3.7,3.3,4.3
