,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1일,5,5.8,13.7,5.4,5.4,6.8,2.9,6.1,4.7,10.4,4.7,3.6
2일,6.5,5.8,5.4,6.8,6.8,7.2,2.5,5.8,5.4,5.8,4,4.7
3일,7.9,13.7,5.4,7.6,9.7,5.8,2.9,6.8,3.6,4.7,4.7,5
4일,5,11.2,4.3,6.8,9.7,6.8,6.1,8.6,7.9,4.7,4.7,9.7
5일,6.1,10.8,7.2,7.2,9.4,6.1,4.3,9.4,9,6.1,4,5.4
6일,5.4,11.2,5.8,11.2,4,7.2,6.5,5.8,7.2,7.9,3.2,8.3
7일,2.9,5.4,6.5,14.8,4.3,7.2,5.8,5.4,9,6.1,4,13.7
8일,6.5,4.3,6.8,6.5,6.1,7.6,5.4,7.6,6.1,4,6.5,9.4
9일,10.4,4,5.4,4,6.1,5,4,5.4,4.3,4,11.2,5.4
10일,10.8,10.8,7.2,12.6,8.3,5,2.5,5,5.8,9,5,3.2
11일,10.1,9.7,7.2,10.8,6.5,5,4.7,5.4,5.4,7.6,4,4.3
12일,6.1,9.7,5,9.4,3.2,6.1,5.4,5.4,5,4.7,4.3,7.9
13일,2.9,9.7,6.5,4.7,6.8,5.4,6.5,5,4.3,3.6,4,7.2
14일,4.3,9.4,8.3,6.5,5,4,6.8,4.7,4.7,5.4,4,6.1
15일,5,9,7.6,8.6,4,5,5.8,4.3,3.6,5,3.6,3.6
16일,2.5,7.6,6.8,5.8,6.8,5,6.1,6.1,6.1,4.7,6.1,3.2
17일,4.3,10.4,5.4,6.8,5,4.7,6.1,6.5,6.8,4.7,5,6.5
18일,6.8,4.7,4.3,6.8,4.7,5.4,5.8,5,4.3,4,4,5
19일,5.8,5.4,9,6.8,5.4,6.5,5.8,4.3,3.6,5,5,5
20일,5.8,9,12.2,4.7,5,8.3,5.4,7.2,6.5,4.3,6.5,3.2
21일,3.6,8.3,6.1,6.8,5,7.9,5.4,9,4.3,4,4.3,4
22일,5.4,7.9,7.9,4,4,6.5,5,4,6.5,3.6,8.6,5.4
23일,13.3,6.8,7.2,7.9,9,7.2,6.5,6.1,5.8,4,5,10.4
24일,12.2,7.6,7.6,5,7.9,6.8,5.8,9,7.6,4.7,6.5,5.8
25일,10.1,6.1,6.1,5.4,6.5,4.3,8.6,9.4,4,3.2,3.6,4.3
26일,9.4,5,6.8,7.6,5,8.6,5.4,4.3,6.1,5.8,3.6,10.1
27일,5,3.2,5.8,6.1,6.1,7.2,6.8,2.9,4.7,11.5,5.4,12.6
28일,9.4,7.2,7.9,7.2,5.8,4,4.3,3.2,4.3,5.4,5.8,9
29일,9.7,,5.8,6.8,6.5,5.4,4.3,8.6,3.6,7.2,4.7,10.4
30일,4.7,,6.1,5.8,6.8,3.2,4.3,6.5,8.3,5.8,5,4.3
31일,5.8,,6.8,,6.8,,5.4,5.8,,5.8,,4.3
평균,6.8,7.9,6.8,7.2,6.1,6.1,5.4,6.1,5.8,5.4,5,6.5
