,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1일,9.3,9.7,8.7,7.0,3.2,12.9,5.8,12.6,0.3,10.0,10.2,2.5
2일,8.4,6.8,10.4,11.0,0.0,12.3,5.6,12.6,2.6,11.1,10.2,8.6
3일,9.0,9.8,5.2,10.9,10.7,11.0,0.0,12.6,0.2,10.6,9.9,0.2
4일,5.1,10.1,0.9,0.0,12.5,10.2,9.7,12.5,5.9,6.1,10.0,1.0
5일,6.3,10.2,0.0,0.0,11.9,0.9,0.5,12.5,11.4,0.0,10.0,8.8
6일,9.3,10.3,9.1,5.6,0.0,11.0,0.0,6.5,0.0,2.1,9.5,0.3
7일,1.6,10.2,0.2,10.7,0.6,12.0,4.5,10.8,0.6,9.4,0.1,2.6
8일,0.0,10.0,0.0,10.5,0.2,10.6,0.1,11.8,0.2,10.6,0.0,8.7
9일,8.9,6.1,1.6,10.7,7.9,9.9,0.0,11.0,4.5,2.5,7.8,8.3
10일,7.5,4.4,8.6,9.0,11.7,2.0,6.6,0.7,11.0,2.8,9.8,9.0
11일,9.5,9.3,11.1,10.0,11.4,0.7,11.7,7.2,7.5,8.1,6.3,0.0
12일,9.5,9.7,10.7,6.8,0.0,1.1,12.8,8.8,8.3,10.6,0.5,9.2
13일,8.2,10.2,11.0,3.8,5.5,5.0,12.6,12.3,0.0,5.8,7.9,9.2
14일,5.7,8.7,10.5,0.0,12.3,10.9,12.8,12.4,0.1,9.8,9.2,9.3
15일,9.3,6.1,0.0,11.1,10.0,9.9,12.8,6.2,0.1,9.7,9.3,8.9
16일,0.0,4.2,6.4,10.1,0.0,6.0,12.8,0.0,10.2,1.9,0.0,0.0
17일,1.1,10.1,9.8,7.7,0.0,8.2,12.8,12.1,7.8,10.2,9.5,8.7
18일,8.4,6.3,4.5,12.1,0.4,9.9,12.7,11.7,10.6,10.4,0.7,9.2
19일,8.9,5.0,0.0,12.2,10.3,1.7,12.7,12.4,3.5,10.3,9.3,8.2
20일,9.2,9.3,1.9,12.2,9.7,9.3,12.7,12.3,0.0,10.2,9.7,0.0
21일,7.8,6.8,0.0,11.6,9.1,9.7,12.4,11.8,0.0,10.4,0.9,3.6
22일,2.9,10.5,7.8,3.2,10.0,8.8,7.5,7.2,9.5,6.6,9.3,7.8
23일,9.5,9.4,11.4,0.0,7.0,2.0,11.9,0.8,6.9,8.3,9.6,5.1
24일,9.8,9.4,9.8,0.0,12.5,12.7,12.6,7.8,0.1,10.5,3.2,9.3
25일,9.3,3.8,10.4,12.3,9.5,11.2,12.4,0.3,11.3,10.3,9.1,7.9
26일,9.9,10.5,11.0,12.0,12.7,0.0,12.1,4.1,5.9,0.2,8.4,5.5
27일,9.9,9.8,11.0,10.6,8.1,0.7,9.3,0.2,10.9,8.8,9.4,9.2
28일,7.6,0.2,11.0,12.3,0.9,0.0,11.4,8.3,7.8,10.0,8.0,9.2
29일,9.7, ,9.8,11.9,10.0,0.3,10.5,10.9,0.0,7.7,7.6,9.2
30일,9.0, ,11.1,11.6,8.4,0.0,11.4,7.7,5.0,10.4,8.6,8.8
31일,6.8, ,10.5, ,10.7, ,12.6,1.9, ,10.4, ,5.7
합계,227.4,226.9,214.4,246.9,217.2,200.9,283.3,260.0,142.2,245.8,214.0,194.0
