,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1일,41.9,51.5,47.9,31.0,72.1,60.9,88.6,81.9,82.4,95.3,56.1,92.9
2일,34.6,55.1,54.5,39.1,54.8,53.8,81.6,72.5,98.6,97.8,67.1,53.8
3일,22.0,84.9,52.8,32.0,41.9,54.9,91.1,72.4,95.3,74.4,71.9,52.1
4일,22.3,28.5,52.6,32.9,53.0,63.4,75.8,68.1,93.3,75.9,64.8,50.5
5일,31.8,40.4,54.8,48.4,51.5,58.9,70.3,66.1,88.6,81.5,58.8,39.3
6일,30.5,45.6,67.3,59.0,55.4,75.9,65.9,86.5,84.8,61.9,52.1,25.8
7일,22.8,45.0,58.4,76.4,49.0,91.1,66.1,86.4,88.1,79.0,51.4,40.0
8일,35.5,40.0,61.9,65.1,36.0,76.3,72.0,77.9,91.8,59.1,46.8,43.0
9일,36.8,28.5,58.0,59.1,37.4,70.8,71.8,76.6,85.3,51.1,40.8,45.4
10일,35.1,48.0,88.1,74.4,38.6,67.0,87.8,77.0,87.0,57.4,58.0,64.3
11일,54.9,29.9,60.3,61.3,42.4,70.4,85.4,79.9,87.6,60.3,57.0,57.5
12일,78.8,33.1,53.1,59.1,43.5,71.4,77.4,78.0,79.9,57.4,53.0,30.6
13일,56.1,31.8,30.6,51.0,67.1,74.4,83.5,66.6,67.6,57.5,58.4,37.9
14일,43.8,54.5,31.9,50.9,72.6,82.5,74.8,74.1,73.9,63.1,33.3,44.6
15일,42.3,62.9,55.8,40.3,60.1,74.1,78.4,86.0,71.4,69.5,47.1,60.6
16일,28.9,42.8,56.3,37.0,62.0,75.6,77.5,76.0,65.5,63.0,65.8,66.6
17일,43.5,30.9,47.6,43.5,65.5,75.0,79.3,73.9,60.3,65.6,79.5,78.9
18일,30.4,28.3,58.4,60.8,86.9,75.6,97.1,82.9,60.0,92.8,61.8,42.9
19일,49.1,89.9,49.0,61.4,83.1,71.4,98.4,78.3,58.1,77.9,46.8,29.4
20일,46.1,54.3,70.0,61.0,66.8,67.1,98.8,74.3,66.1,75.1,38.3,40.0
21일,34.6,56.5,63.9,65.4,45.5,71.6,94.4,85.6,93.3,67.5,49.0,41.6
22일,43.8,60.1,48.4,62.5,51.1,66.9,88.1,94.8,95.6,68.0,64.3,49.1
23일,44.3,55.1,36.9,73.4,71.4,68.4,86.3,76.4,91.1,73.1,67.6,47.4
24일,30.0,54.3,44.8,95.1,68.5,71.0,89.1,64.1,70.5,76.6,86.3,57.3
25일,25.1,50.6,41.6,73.0,53.5,71.3,95.6,71.9,69.4,74.0,65.0,52.1
26일,25.0,57.5,44.8,86.8,65.4,86.6,96.1,75.6,74.1,52.3,62.8,59.8
27일,29.1,62.5,48.5,58.4,93.9,96.0,98.5,95.6,86.4,41.9,60.9,35.4
28일,37.4,63.3,67.4,58.3,58.9,88.4,90.1,93.8,99.4,55.0,69.0,34.1
29일,46.0, ,73.4,87.9,46.1,94.8,88.8,89.1,91.9,57.1,40.4,66.5
30일,35.9, ,61.8,83.5,34.4,86.9,87.8,72.5,89.5,47.1,58.8,81.5
31일,73.4, ,37.6, ,59.9, ,83.0,66.4, ,50.8, ,28.3
평균,39.1,49.5,54.1,59.6,57.7,73.7,84.5,78.1,81.6,67.1,57.8,50.0
